company_code,year,quarter,total_assets,total_liabilities,equity,shares_outstanding,revenue,net_profit,bvps,roa,roe,eps,pe,sector_kind,symbol,gross_profit
545,2025,4,346515953244.0,0.0,101697506476.0,800000000.0,135388570448.0,40145255463.0,127.0,,11.5854,50.1816,3.4351,nbfi,LEND,
545,2026,2,385854899549.0,277967641568.0,107887257981.0,800000000.0,77257615837.0,18388229275.0,135.0,,4.7656,22.9853,6.7021,nbfi,LEND,
510,2022,2,5168965500.0,93553800.0,0.0,350463539.0,1615642400.0,0.0,0.0,0.0,,0.0,,general,MSE,
510,2022,4,25481700700.0,1989503700.0,23492197000.0,350463539.0,4241344900.0,646228200.0,67.0,2.536,2.7508,1.8439,,general,MSE,
510,2023,2,98099884911.0,60553945287.0,37545939624.0,350463539.0,5008723222.0,2089464203.0,107.0,2.1299,5.5651,5.962,24.1664,general,MSE,
510,2023,3,0.0,0.0,0.0,350463539.0,0.0,0.0,0.0,,,0.0,0.0,general,MSE,
510,2023,4,927294910630.0,883215099843.0,44079810788.0,350463539.0,12147031304.0,9307716037.0,126.0,1.0037,21.1156,26.5583,4.4043,general,MSE,
510,2024,1,0.0,0.0,0.0,350463539.0,0.0,0.0,0.0,,,0.0,0.0,general,MSE,
510,2024,2,1083729569754.0,1026153110959.0,57576458795.0,350463539.0,8647360986.0,17845862408.0,164.0,1.6467,30.9951,50.9207,6.0785,general,MSE,
510,2024,3,1054547912837.0,989110301708.0,0.0,350463539.0,10584198811.0,25707014742.0,0.0,2.4377,,73.3515,5.0479,general,MSE,
510,2024,4,843687789333.0,769778376449.0,73909412884.0,350463539.0,13521664120.0,34176682263.0,211.0,4.0509,46.2413,97.5185,3.6305,general,MSE,
510,2025,1,0.0,0.0,0.0,350463539.0,0.0,0.0,0.0,,,0.0,0.0,general,MSE,
510,2025,2,854561504652.0,784338141809.0,70223362843.0,350463539.0,3212172739.0,12040290524.0,200.0,1.4089,17.1457,34.3553,7.7275,general,MSE,
510,2025,3,1200524570489.0,1121202713991.0,0.0,350463539.0,6634321224.0,21138784178.0,0.0,1.7608,,60.3166,4.8385,general,MSE,
510,2025,4,1284780153571.0,1194775682772.0,90004470800.0,350463539.0,10744739532.0,31821398480.0,257.0,2.4768,35.3554,90.798,3.4366,general,MSE,
510,2026,2,1474883337373.0,1377114770830.0,97768566543.0,350463539.0,7643244930.0,22988231878.0,279.0,1.5586,23.5129,65.5938,5.6147,general,MSE,
570,2022,4,1598510900.0,22982400.0,1575528500.0,184889160.0,0.0,0.0,9.0,0.0,0.0,0.0,,general,QPAY,0.0
570,2023,2,2037187717.0,41124977.0,1996062740.0,184889160.0,0.0,0.0,11.0,0.0,0.0,0.0,,general,QPAY,0.0
570,2023,4,7599049482.0,103478104.0,7495571378.0,184889160.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,general,QPAY,0.0
570,2024,2,8058503423.0,64927580.0,7993575843.0,184889160.0,0.0,4497156996.0,43.0,55.8064,56.2596,24.3235,9.4559,general,QPAY,0.0
570,2024,4,11846270310.0,3737068757.0,8109201553.0,184889160.0,0.0,12008349106.0,44.0,101.3682,148.083,64.9489,3.3112,general,QPAY,0.0
570,2025,1,25986896718.0,7052905366.0,18933991352.0,184889160.0,7535407195.0,3654074811.0,102.0,14.0612,19.299,19.7636,10.575,general,QPAY,4420764865.0
570,2025,2,8303537457.0,305207617.0,7998329840.0,184889160.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,general,QPAY,0.0
570,2025,3,0.0,0.0,0.0,184889160.0,0.0,0.0,0.0,,,0.0,0.0,general,QPAY,0.0
570,2025,4,34199564544.0,3230776969.0,30968787576.0,184889160.0,38125353448.0,13439200705.0,167.0,39.2964,43.396,72.6879,3.1917,general,QPAY,18149217330.0
570,2026,2,33048439776.0,3742300199.0,29306139577.0,184889160.0,24921697131.0,7581810001.0,159.0,22.9415,25.8711,41.0073,6.6525,general,QPAY,11163826519.0
135,2022,2,90137452500.0,55365178500.0,34772274000.0,344000000.0,53351042200.0,0.0,101.0,0.0,0.0,0.0,0.0,general,SUU,3162750800.0
135,2022,4,87828123900.0,50365858900.0,37462265000.0,344000000.0,108774221200.0,8335979900.0,109.0,9.4912,22.2517,24.2325,19.5296,general,SUU,29871851400.0
135,2023,2,91652583114.0,45001780270.0,46650802844.0,344000000.0,73522235886.0,8858189067.0,136.0,9.665,18.9883,25.7505,15.1923,general,SUU,21294108024.0
135,2023,4,121243586838.0,73015590115.0,49966325791.0,344000000.0,147793352846.0,15639297302.0,145.0,12.8991,31.2997,45.4631,7.6042,general,SUU,45248035453.0
135,2024,1,0.0,0.0,0.0,344000000.0,0.0,0.0,0.0,,,0.0,0.0,general,SUU,0.0
135,2024,2,131221409589.0,72864809741.0,58356599848.0,344000000.0,95981599133.0,12166182007.0,170.0,9.2715,20.848,35.3668,11.2326,general,SUU,30372351061.0
135,2024,3,0.0,0.0,0.0,344000000.0,0.0,0.0,0.0,,,0.0,0.0,general,SUU,0.0
135,2024,4,157145853624.0,96837070853.0,60377147152.0,344000000.0,192399370626.0,17823930175.0,176.0,11.3423,29.521,51.8138,8.4993,general,SUU,57549662354.0
135,2025,2,167044885689.0,100491217567.0,66553668122.0,344000000.0,115031155557.0,6890638420.0,193.0,4.125,10.3535,20.0309,33.947,general,SUU,33775035171.0
135,2025,3,176840444213200.0,109639525442830.0,67200918770370.0,344000000.0,164671472348580.0,9596682010860.0,195352.0,5.4267,14.2806,27897.3314,0.0208,general,SUU,47971066115230.0
135,2025,4,201662215861.0,131400626364.0,70261589497.0,344000000.0,221437853419.0,12682468127.0,204.0,6.289,18.0504,36.8676,16.8931,general,SUU,65709738293.0
135,2026,2,207121400771.0,129272336268.0,77849064503.0,344000000.0,131119952086.0,9441106244.0,226.0,4.5582,12.1274,27.4451,22.9043,general,SUU,38810566347.0
458,2022,2,0.0,0.0,0.0,52665200.0,0.0,0.0,0.0,,,0.0,0.0,general,TTL,0.0
458,2022,4,457092612600.0,138145450100.0,318947162500.0,52665200.0,765561741500.0,326180138300.0,6056.0,71.3597,102.2678,6193.4662,1.3086,general,TTL,407656215200.0
458,2023,2,386700013850.0,121138004063.0,265562009787.0,52665200.0,36083562200.0,12439544027.0,5042.0,3.2168,4.6842,236.2005,47.4597,general,TTL,18263850750.0
458,2023,4,861370834992.0,452443814852.0,408927020140.0,52665200.0,1094131211393.0,375859454119.0,7765.0,43.635,91.9136,7136.7707,2.4955,general,TTL,877657534142.0
458,2024,2,706463574421.0,210611027813.0,495852546608.0,52665200.0,518468562912.0,213249791144.0,9415.0,30.1855,43.0067,4049.1594,6.6878,general,TTL,275158262433.0
458,2024,4,834607425173.0,315158760408.0,519448664765.0,52665200.0,1162659567952.0,416535611271.0,9863.0,49.908,80.188,7909.1243,4.3014,general,TTL,578611642682.0
458,2025,2,546348555545.0,345494740977.0,200853814568.0,52665200.0,198085515130.0,64157190920.0,3814.0,11.7429,31.9422,1218.2084,21.8846,general,TTL,83855051528.0
458,2025,4,618111893460.0,330620252048.0,287491641413.0,52665200.0,727400236143.0,182980165995.0,5459.0,29.6031,63.6471,3474.4037,9.0548,general,TTL,253804850663.0
